x,y
700892.8,3840584.8
700917.1,3840590.6
700941.5,3840596.4
700965.8,3840602.2
700990.1,3840608.0
701014.5,3840613.8
701038.8,3840619.6
701063.1,3840625.4
701087.5,3840631.2
701111.8,3840637.1
701136.1,3840642.9
701160.5,3840648.7
701184.8,3840654.5
701209.2,3840660.3
701233.5,3840666.1
701257.8,3840671.9
701282.2,3840677.7
701306.5,3840683.5
701330.8,3840689.3
701355.2,3840695.1
701379.5,3840700.9
701403.9,3840706.7
701428.2,3840712.5
701452.5,3840718.3
701476.9,3840724.1
701501.2,3840730.0
701525.5,3840735.8
701549.9,3840741.6
701574.2,3840747.4
701598.5,3840753.2
701622.9,3840759.0
701647.2,3840764.8
701671.6,3840770.6
701695.9,3840776.4
701720.2,3840782.2
701744.6,3840788.0
701768.9,3840793.8
701793.2,3840799.6
701817.6,3840805.4
701841.9,3840811.2
701866.2,3840817.0
701890.6,3840822.9
701914.9,3840828.7
701939.3,3840834.5
701963.6,3840840.3
701987.9,3840846.1
702012.3,3840851.9
702036.6,3840857.7
702060.9,3840863.5
702085.3,3840869.3
702109.6,3840875.1
702134.0,3840880.9
702158.3,3840886.7
702182.6,3840892.5
702207.0,3840898.3
702231.3,3840904.1
702255.6,3840909.9
702280.0,3840915.7
702304.3,3840921.6
702328.6,3840927.4
702353.0,3840933.2
702377.3,3840939.0
702401.7,3840944.8
702426.0,3840950.6
702450.3,3840956.4
702474.7,3840962.2
702499.0,3840968.0
702523.2,3840973.7
702547.5,3840979.5
702571.7,3840985.2
702595.9,3840990.9
702620.2,3840996.6
702644.4,3841002.4
702668.7,3841008.1
702692.9,3841013.8
702717.1,3841019.5
702741.4,3841025.3
702765.6,3841025.3
702789.8,3841036.7
702814.1,3841042.4
702838.3,3841048.2
702862.5,3841053.9
702886.8,3841059.6
702911.0,3841065.3
702935.2,3841071.1
702959.5,3841076.8
702983.7,3841082.5
703007.9,3841088.2
703032.2,3841094.0
703056.4,3841099.7
703080.7,3841105.4
703104.9,3841111.1
703129.1,3841116.9
703153.4,3841122.6
703177.6,3841128.3
703201.8,3841134.0
703226.1,3841139.8
703250.3,3841145.5
703274.5,3841151.2
703298.8,3841156.9
703323.0,3841162.7
703347.2,3841168.4
703371.5,3841174.1
703395.7,3841179.8
703419.9,3841185.6
703444.2,3841191.3
703468.4,3841197.0
703492.7,3841202.8
703516.9,3841208.5
703541.1,3841214.2
703565.4,3841219.9
703589.6,3841225.7
703613.8,3841231.4
703638.1,3841237.1
703662.3,3841242.9
703686.5,3841248.6
703710.8,3841254.3
703735.0,3841260.0
703759.2,3841265.7
703783.5,3841271.5
703807.7, 3841277.2
